TIMESTAMP,METRIC,VALUE
1738694268.316503,energy,0.05300000
1738694275.693410,energy,0.18900000
1738694278.260532,energy,0.18900000
1738694280.823216,energy,0.18900000
1738694283.692011,energy,0.35900000
1738694286.253544,energy,0.35900000
1738694288.818376,energy,0.36800000
1738694291.412829,energy,0.38200000
1738694293.938489,energy,0.38200000
1738694295.636392,heart,143.00000000
1738694296.497658,energy,0.40500000
1738694299.062578,energy,0.41400000
1738694300.642742,heart,142.00000000
1738694301.628065,energy,0.41400000
1738694304.189852,energy,0.40900000
1738694306.752536,energy,0.40900000
1738694311.566656,energy,0.36800000
1738694314.438801,energy,0.36800000
1738694315.632970,heart,138.00000000
1738694316.994262,energy,0.36800000
1738694319.558375,energy,0.39100000
1738694320.636038,heart,139.00000000
1738694322.124907,energy,0.39100000
1738694324.682458,heart,140.00000000
1738694326.937285,energy,0.40000000
1738694329.804219,heart,141.00000000
1738694329.809882,energy,0.40000000
1738694332.371211,energy,0.40000000
1738694334.929396,energy,0.40500000
1738694337.495398,energy,0.40500000
1738694342.306877,energy,0.40500000
1738694345.180180,energy,0.40500000
1738694347.739713,energy,0.40900000
1738694350.301173,energy,0.40900000
1738694352.865108,energy,0.41800000
1738694355.427523,energy,0.41800000
1738694357.985740,energy,0.41800000
1738694360.549791,energy,0.41800000
1738694363.118673,energy,0.41800000
1738694365.673081,energy,0.41800000
1738694368.297588,energy,0.43700000
1738694370.791755,energy,0.43700000
1738694375.612956,energy,0.43700000
1738694378.171323,energy,0.18900000
1738694380.734231,energy,0.42800000
1738694383.608843,energy,0.42800000
1738694386.171471,energy,0.42800000
1738694388.732877,energy,0.42300000
1738694391.292368,energy,0.42300000
1738694393.856909,energy,0.42800000
1738694396.416805,energy,0.42800000
1738694398.981129,energy,0.45500000
1738694401.542365,energy,0.45500000
1738694404.104475,energy,0.44600000
1738694406.665429,energy,0.44600000
1738694409.243159,energy,0.42800000
1738694411.791161,energy,0.42800000
1738694414.349659,energy,0.42300000
1738694416.911634,energy,0.42300000
1738694419.476238,energy,0.41800000
1738694420.641650,heart,146.00000000
1738694422.032060,energy,0.41800000
1738694424.599750,energy,0.42800000
1738694425.638964,heart,147.00000000
1738694427.164336,energy,0.42800000
1738694429.724580,heart,148.00000000
1738694429.729161,energy,0.43200000
1738694432.285992,energy,0.43200000
1738694435.640412,heart,149.00000000
1738694437.098124,energy,0.44100000
1738694439.971457,heart,148.00000000
1738694439.973876,energy,0.44100000
1738694442.534262,energy,0.44100000
1738694445.094171,energy,0.43700000
1738694445.097156,heart,148.00000000
1738694447.653972,energy,0.43700000
1738694450.215892,energy,0.43700000
1738694450.219152,heart,148.00000000
1738694452.777317,energy,0.43700000
1738694455.342076,energy,0.43700000
1738694455.347447,heart,150.00000000
1738694457.905344,energy,0.44600000
1738694460.467880,heart,153.00000000
